ID,total_pages,year,month,day,comment
SAH010000001,32,1979,12,1,
SAH010000002,56,1980,3,1,
SAH010000003,56,1980,9,1,
SAH010000004,56,1980,12,1,
SAH010000005,64,1980,12,1,total 120
SAH010000006,48,1982,12,1,
SAH010000007,40,1983,10,1,
SAH010000008,64,1983,12,1,
SAH010000009,48,1984,2,1,
SAH010000010,48,1984,4,1,
SAH010000011,48,1984,6,1,
SAH010000012,48,1984,7,1,
SAH010000013,48,1984,10,1,
SAH010000014,48,1984,11,1,
SAH010000015,64,1984,12,1,
SAH010000016,47,1985,2,1,1 page missing
SAH010000017,52,1985,4,1,
SAH010000018,48,1985,5,1,
SAH010000019,51,1985,6,1,1 page missing
SAH010000020,52,1985,9,1,
SAH010000021,52,1985,11,1,
SAH010000022,68,1985,12,1,
SAH010000023,48,1986,1,1,
SAH010000024,48,1986,2,1,
SAH010000025,52,1986,3,1,
SAH010000026,51,1986,5,1,1 page missing
SAH010000027,52,1986,6,1,
SAH010000028,51,1986,9,1,1 page missing
SAH010000029,52,1986,10,1,
SAH010000030,52,1986,11,1,
SAH010000031,68,1986,12,1,
SAH010000032,56,1987,1,1,
SAH010000033,48,1987,3,1,
SAH010000034,56,1987,4,1,
SAH010000035,28,1987,5,1,
SAH010000036,56,1987,7,1,
SAH010000037,56,1987,8,1,
SAH010000038,64,1987,9,1,
SAH010000039,80,1987,10,1,
SAH010000040,72,1987,12,1,
SAH010000041,58,1988,1,1,
SAH010000042,80,1988,2,1,
SAH010000043,72,1988,3,1,
SAH010000044,72,1988,5,1,
SAH010000045,72,1988,6,1,
SAH010000046,74,1988,8,1,
SAH010000047,84,1988,10,1,
SAH010000048,72,1988,11,1,
SAH010000049,96,1988,12,1,
SAH010000050,64,1989,1,1,
SAH010000051,64,1989,2,1,
SAH010000052,80,1989,3,1,
SAH010000053,80,1989,4,1,
SAH010000054,80,1989,5,1,
SAH010000055,80,1989,6,1,
SAH010000056,72,1989,7,1,
SAH010000057,82,1989,9,1,
SAH010000058,80,1989,10,1,
SAH010000059,88,1989,11,1,
SAH010000060,97,1989,12,1,
SAH010000061,63,1990,1,1,1 page missing
SAH010000062,72,1990,2,1,
SAH010000063,80,1990,3,1,
SAH010000064,96,1990,4,1,
SAH010000065,88,1990,5,1,
SAH010000066,88,1990,6,1,
SAH010000067,88,1990,7,1,
SAH010000068,80,1990,8,1,
SAH010000069,100,1990,9,1,
SAH010000070,108,1990,10,1,
SAH010000071,96,1990,11,1,
SAH010000072,108,1990,12,1,
SAH010000073,76,1991,1,1,
SAH010000074,84,1991,2,1,
SAH010000075,108,1991,3,1,
SAH010000076,108,1991,4,1,
SAH010000077,108,1991,5,1,
SAH010000078,108,1991,6,1,
SAH010000079,84,1991,7,1,
SAH010000080,75,1991,8,1,1 page missing
SAH010000081,108,1991,9,1,
SAH010000082,107,1991,10,1,1 page missing
SAH010000083,108,1991,11,1,
SAH010000084,116,1991,12,1,
SAH010000085,74,1992,1,1,
SAH010000086,100,1992,2,1,
SAH010000087,108,1992,3,1,
SAH010000088,152,1992,4,1,
SAH010000089,108,1992,5,1,
SAH010000090,108,1992,6,1,
SAH010000091,70,1992,7,1,
SAH010000092,68,1992,8,1,
SAH010000093,108,1992,9,1,
SAH010000094,146,1992,10,1,
SAH010000095,140,1992,11,1,
SAH010000096,144,1992,12,1,
SAH010000097,74,1993,1,1,
SAH010000098,100,1993,2,1,
SAH010000099,108,1993,3,1,
SAH010000100,166,1993,4,1,
SAH010000101,116,1993,5,1,
SAH010000102,116,1993,6,1,
SAH010000103,76,1993,7,1,
SAH010000104,68,1993,8,1,
SAH010000105,108,1993,9,1,
SAH010000106,168,1993,10,1,
SAH010000107,140,1993,11,1,
SAH010000108,138,1993,12,1,
SAH010000109,70,1994,1,1,
SAH010000110,78,1994,2,1,
SAH010000111,144,1994,3,1,
SAH010000112,186,1994,4,1,
SAH010000113,118,1994,5,1,
SAH010000114,76,1994,6,1,
SAH010000115,122,1994,7,1,
SAH010000116,70,1994,8,1,
SAH010000117,62,1994,9,1,
SAH010000118,102,1994,10,1,
SAH010000119,64,1994,11,1,
SAH010000120,114,1994,12,1,
SAH010000121,122,1994,13,1,
SAH010000122,166,1994,14,1,
SAH010000123,72,1998,1,1,
SAH010000124,91,1998,2,1,1 page missing
SAH010000125,100,1998,3,1,
SAH010000126,140,1998,4,1,
SAH010000127,124,1998,5,1,
SAH010000128,140,1998,6,1,
SAH010000129,132,1998,7,1,
SAH010000130,100,1998,8,1,
SAH010000131,148,1998,9,1,
SAH010000132,148,1998,10,1,
SAH010000133,132,1998,11,1,
SAH010000134,155,1998,12,1,1 page missing
SAH010000135,76,1997,1,1,
SAH010000136,84,1997,2,1,
SAH010000137,120,1997,3,1,
SAH010000138,92,1997,4,1,
SAH010000139,116,1997,5,1,
SAH010000140,108,1997,6,1,
SAH010000141,108,1997,7,1,
SAH010000142,88,1997,8,1,
SAH010000143,100,1997,9,1,
SAH010000144,104,1997,10,1,
SAH010000145,140,1997,11,1,
SAH010000146,140,1997,12,1,
SAH010000147,62,1996,1,4,
SAH010000148,70,1996,2,1,
SAH010000149,92,1996,2,29,
